S.No,News Covered on Dated,State,Heading,Link
39,25.04.13,Maharashtra,"Dalit woman gang raped, 3 arrested - The Times Of India","http://timesofindia.indiatimes.com/city/aurangabad/Dalit-woman-gang-raped-3-arrested/articleshow/19718184.cms
 "
40,26.04.13,Haryana,"HARYANA’S SHAME Minor Dalit girl of Meham gang-raped, 5 arrested - The Tribune
 ","http://www.tribuneindia.com/2013/20130426/haryana.htm#3
 "
41,29.04.13,Uttar Pradesh,"Minor Dalit girl raped in UP - Zee News
 ","http://zeenews.india.com/news/uttar-pradesh/minor-dalit-girl-raped-in-up_845370.html
 "
42,29.04.13,Haryana,"Police insensitivity again comes to fore  Gangraped migrant women approach Delhi Police for justice - The Tribune
 ","http://www.tribuneindia.com/2013/20130429/haryana.htm#1
 "
43,04.05.13,Haryana,"Court holds four youths guilty of Dalit girl’s rape Quantum of punishment to be announced today - The Tribune
 ","http://www.tribuneindia.com/2013/20130504/haryana.htm#23
 "
44,06.05.13,Bihar,"Another minor raped in Bihar - The Hindustan Times
 ","http://www.hindustantimes.com/India-news/patna/Another-minor-raped-in-Bihar/Article1-1054797.aspx
 "
45,08.05.13,Uttar Pradesh,"Dalit girl attempts suicide as parents fail to deposit fees - The Hindustan Times
 ","http://www.hindustantimes.com/India-news/UttarPradesh/Dalit-girl-attempts-suicide-as-parents-fail-to-deposit-fees/Article1-1056908.aspx
 "
46,13.05.13,Punjab,"Dalit girl raped in Punjab - Zee News
 ","http://zeenews.india.com/news/punjab/dalit-girl-raped-in-punjab_848319.html
 "
47,13.05.13,Punjab,"Minor Dalit girl raped by two brothers in Punjab - Zee News
 ","http://zeenews.india.com/news/punjab/minor-dalit-girl-raped-by-two-brothers-in-punjab_848085.html
 "
48,13.05.13,Punjab,"Tarn Taran girl complains to SC/ST panel on security - The Hindustan Times
 ","http://www.hindustantimes.com/Punjab/Amritsar/Tarn-Taran-girl-complains-to-SC-ST-panel-on-security/SP-Article1-1059167.aspx
 "
49,14.06.13,Haryana,"Dalit girl raped in Sirsa-The Tribune
 ","http://www.indiapress.org/gen/news.php/The_Tribune/400x60/0
 "
50,14.06.13,Rajasthan,"2 men allegedly abducted, raped 13-yr-old Dalit girl -IBN Live
 ","http://ibnlive.in.com/news/2-men-allegedly-abducted-raped-13yrold-dalit-girl/398685-3-239.html
 "
51,15.06.13,Haryana ,"Youth held for raping a dalit minor-The Times Of India
 ","http://timesofindia.indiatimes.com/city/gurgaon/Youth-held-for-raping-a-dalit-minor/articleshow/20598025.cms
 "
52,15.06.13,Uttar Pradesh,"Dalit girl report missing from Noida- The Times Of India
 ","http://timesofindia.indiatimes.com/city/noida/Dalit-girl-report-missing-from-Noida/articleshow/20598429.cms
 "
53,21.06.13,Haryana,"Minor Dalit’s rape: Haryana Police under NCPCR scanner  ‘Take action against delinquent police officials in 15 days’ - The Tribune
 ","http://www.tribuneindia.com/2013/20130621/haryana.htm#4
 "
54,23.06.13,Rajasthan,"Minor raped, murdered in Barmer-The Times Of India
 ","http://articles.timesofindia.indiatimes.com/2013-06-23/jaipur/40146293_1_throat-slit-jaisalmer-barmer
 "
55,24.06.13,Haryana,"Dalit woman raped in Haryana-The Times Of India
 ","http://timesofindia.indiatimes.com/city/chandigarh/Dalit-woman-raped-in-Haryana/articleshow/20729544.cms
 "
56,29.06.13,Andhra Pradesh,"Dalit woman fights house demolition-Deccan Chronicle
 ","http://www.deccanchronicle.com/130629/news-current-affairs/article/dalit-woman-fights-house-demolition
 "
57,30.06.13,Tamil Nadu,"Dalit women seek special bill for protection and justice- The Times Of India
 ","http://timesofindia.indiatimes.com/city/madurai/Dalit-women-seek-special-bill-for-protection-and-justice/articleshow/20837168.cms
 "
58,01.07.13,Haryana ,"Dalit woman axed to death after rape-Hindustan Times
 ","http://www.hindustantimes.com/India-news/Haryana/Dalit-woman-axed-to-death-after-rape/Article1-1084873.aspx
 "
59,02.07.13,Tamil Nadu,"Divya to stay with mother till family accepts Dalit husband - The Hindu
 ","http://www.thehindu.com/news/national/tamil-nadu/divya-to-stay-with-mother-till-family-accepts-dalit-husband/article4870383.ece
 "
60,03.07.13,Tamil Nadu,"Dalit girl humiliated, ends life - The Hindu
 ","http://www.thehindu.com/news/national/tamil-nadu/dalit-girl-humiliated-ends-life/article4874141.ece
 "
61,04.07.13,Tamil Nadu,"Girl married to Dalit refuses to go back to husband- The Indian Express
 ","http://www.indianexpress.com/news/girl-married-to-dalit-refuses-to-go-back-to-husband/1137325/
 "
62,04.07.13,Andhra Pradesh,"Fair probe sought into Dalit woman’s rape, murder- The Hindu
 ","http://www.thehindu.com/news/national/andhra-pradesh/fair-probe-sought-into-dalit-womans-rape-murder/article4880746.ece
 "
63,09.07.13,Uttar Pradesh,"Teen girl attempts suicide after rape- The Times Of India
 ","http://articles.timesofindia.indiatimes.com/2013-07-09/lucknow/40468352_1_teen-girl-15-year-old-girl-monday-morning-the-girl
 "
64,13.07.13,Punjab,"Dalit minor girl raped in Punjab- ZEE News
 ","http://zeenews.india.com/news/punjab/dalit-minor-girl-raped-in-punjab_861960.html
 "
65,15.07.13,Haryana,"Dalit woman allegedly raped, neighbour held- ZEE News
 ","http://zeenews.india.com/news/haryana/dalit-woman-allegedly-raped-neighbour-held_862236.html
 "
